Author,Awarding Data,Award,Papers,Citations,Years,Authors_Paper,h_index,g_index,hc_index,hI_index,hI_norm,AW_index,e_index,hm_index,hI_annual,h_coverage,g_coverage,star_count,year_first,year_last,Cites_Year,Cites_Paper,hg_Index,H_Core,A_Index,R_Index,f_Index,p_Index,k_Index,M_quotient,AR_Index,Q_Square_Index,Class
Jeffrey John,2013,ACI,992,27865,120,2.58,81,145,34,22.09,44,41,103.17,46.82,0.37,61.7,75.7,26,1899,2013,232.21,28.09,108.37,6808,84.05,82.51,1.62,92.16,9.08,0.68,15.24,7.42,1
Michael Thomas,2015,ACI,929,27865,120,2.58,81,145,34,22.09,44,41,103.17,46.82,0.37,61.7,75.7,26,1899,2013,232.21,29.99,108.37,6808,84.05,82.51,1.62,94.2,9.7,0.68,15.24,7.42,1
Eric Peterson,2012,ACI,857,19759,117,2.65,64,135,34,22.38,43,31.5,107.77,41.82,0.37,79.5,92.7,21,1902,2014,168.88,23.06,92.95,4343,67.86,65.9,2.84,76.95,6.5,0.55,13,5.93,1
W. Jason,2014,ACI,787,19759,117,2.65,64,135,34,22.38,43,31.5,107.77,41.82,0.37,79.5,92.7,21,1902,2014,168.88,25.11,92.95,4343,67.86,65.9,2.84,79.16,7.07,0.55,13,5.93,1
Sami Rizkalla,2014,ACI,275,7035,45,3.14,44,78,23,15.87,27,22.05,56.66,25.28,0.6,73.1,88.3,9,1974,2014,156.33,25.58,58.58,2183,49.61,46.72,1.66,56.46,11.51,0.98,12.5,6.57,1
Denis Mitchell,2012,ACI,257,7035,45,3.14,44,78,23,15.87,27,22.05,56.66,25.28,0.6,73.1,88.3,9,1974,2014,156.33,27.37,58.58,2183,49.61,46.72,1.66,57.75,12.32,0.98,12.5,6.57,1
Peter Bischoff,2014,ACI,177,3088,74,2.03,29,53,14,13.56,20,13.25,40.88,20,0.27,81.3,93.8,3,1945,2014,41.73,17.45,39.2,1088,37.52,32.98,1.99,37.77,9.49,0.39,6.46,3.36,1
William Cook,2012,ACI,175,3088,74,2.03,29,53,14,13.56,20,13.25,40.88,20,0.27,81.3,93.8,3,1945,2014,41.73,17.65,39.2,1088,37.52,32.98,1.99,37.91,9.6,0.39,6.46,3.36,1
Mark Stevenson,2012,ACI,127,6472,48,2.39,38,80,17,18.05,30,17.26,65.1,27.78,0.63,87.8,99,7,1971,2013,134.83,50.96,55.14,1691,44.5,41.12,2.93,69.09,18.02,0.79,11.61,5.48,1
Nicholas Carino,2014,ACI,121,6472,48,2.39,38,80,17,18.05,30,17.26,65.1,27.78,0.63,87.8,99,7,1971,2013,134.83,53.49,55.14,1691,44.5,41.12,2.93,70.22,18.92,0.79,11.61,5.48,1
Amr Hosny,2014,ACI,32,327,15,2.09,10,17,7,3.33,6,6.95,13.78,6.03,0.4,88.7,97.2,1,2004,2014,21.8,10.22,13.04,347,34.7,18.63,1.9,14.95,-177.3,0.67,4.67,2.59,1
Hatem Seliem,2014,ACI,15,150,15,4,6,12,5,1.5,4,3.82,9.8,2.82,0.27,88,99.3,0,2004,2014,10,10,8.49,283,47.17,16.82,2.67,11.45,-21.28,0.4,3.16,1.55,1
Kambiz Raoufi,2014,ACI,10,191,12,3.8,7,10,5,1.88,5,4.66,11.58,2.98,0.42,95.8,100,0,2007,2012,15.92,19.1,8.37,296,42.29,17.2,2.74,15.39,-53.84,0.58,3.99,2.01,1
Jason Barrington,2013,ACI,2,12,21,4.5,1,2,1,0.25,1,1.22,3.32,0.25,0.05,100,100,0,1998,2011,0.57,6,1.41,248,248,15.75,11.02,4.16,-6.31,0.05,0.76,0.22,1
A. J. Ryan,2013,ASCE,1000,38025,182,3.35,99,166,45,22.22,45,51.46,111.69,51.79,0.25,58.6,72.6,62,1837,2014,208.93,38.02,128.2,10048,101.49,100.24,1.27,113.08,13.66,0.54,14.45,7.31,1
Reem Zoun,2017,ASCE,1000,111853,256,2.84,146,281,59,45.55,99,75.91,206.03,104.75,0.39,57,70.7,103,1763,2014,436.93,111.85,202.55,21563,147.69,146.84,1.99,232.15,26.71,0.57,20.9,9.12,1
SU JIN KIM,2012,ASCE,996,13819,70,4.79,60,89,34,11.73,22,37.38,53.62,28.98,0.31,46.9,57.8,24,1949,2012,197.41,13.87,73.08,3847,64.12,62.02,0.8,57.66,5.35,0.86,14.05,7.18,1
Ronny Purba,2016,ASCE,908,71814,126,3.34,130,226,59,31.89,62,69.42,156.87,72.73,0.49,57.8,71.5,106,1893,2014,569.95,79.09,171.41,17147,131.9,130.95,1.46,178.42,24.81,1.03,23.87,11.57,1
Andrew J. Gastineau,2015,ASCE,876,34326,72,2.53,74,177,33,28.82,51,39.31,147.29,49.4,0.71,79.2,91.9,31,1947,2014,476.75,39.18,114.45,5723,77.34,75.65,3.96,110.39,7.84,1.03,21.83,8.73,1
Julia Harrod,2016,ASCE,874,21413,125,2.57,71,130,34,24,46,33.71,94.25,45.95,0.37,65,79.6,29,1894,2014,171.3,24.5,96.07,5288,74.48,72.72,1.76,80.65,8.03,0.57,13.09,6.36,1
Samuel Lewis,2013,ASCE,719,9183,225,2.27,52,80,20,13.59,27,19.46,50.26,31.17,0.12,57,69.7,3,1794,2013,40.81,12.77,64.5,2951,56.75,54.32,0.93,48.95,6.05,0.23,6.39,3.46,1
Yonggang Huang,2018,ASCE,647,47759,34,4.62,106,211,94,19.54,46,88.02,164.45,37.79,1.35,80.2,93.5,184,1985,2018,1404.68,73.82,149.55,11483,108.33,107.16,2.41,152.2,23.37,3.12,37.48,18.19,1
Gokhan Kirkil,2011,ASCE,543,2772,132,1.99,28,49,14,8.43,16,12.74,34.84,16.4,0.12,72.1,87.6,3,1887,2013,21,5.1,37.04,1031,36.82,32.11,1.55,24.19,3.02,0.21,4.58,2.42,1
Ahsan Kareem,2015,ASCE,524,8485,54,3.13,40,90,29,10.67,23,28.9,73.6,21.12,0.43,82.7,96.3,22,1965,2019,157.13,16.19,60,1847,46.18,42.98,3.39,51.6,4.51,0.74,12.54,5.44,1
Chopra J,2013,ASCE,505,6179,73,3.01,38,66,12,13.25,23,16.35,44.97,26.58,0.32,56.1,70.7,4,1946,2013,84.64,12.24,50.08,1691,44.5,41.12,1.4,42.28,4.61,0.52,9.2,4.45,1
Paige J. Novak,2011,ASCE,452,8485,54,3.13,40,90,29,10.67,23,28.9,73.6,21.12,0.43,82.7,96.3,22,1965,2019,157.13,18.77,60,1847,46.18,42.98,3.39,54.21,5.22,0.74,12.54,5.44,1
Michael J. Adelman,2015,ASCE,425,2772,132,1.99,28,49,14,8.43,16,12.74,34.84,16.4,0.12,72.1,87.6,3,1887,2013,21,6.52,37.04,1031,36.82,32.11,1.55,26.25,3.86,0.21,4.58,2.42,1
Arturo E. Schultz,2015,ASCE,391,6469,23,2.77,44,69,28,19.76,26,27.39,44.84,29.92,1.13,61,74.9,20,1996,2014,281.26,16.54,55.1,2183,49.61,46.72,1.04,47.48,8.43,1.91,16.77,9.17,1
Steven F. Wojtkiewicz,2015,ASCE,377,28661,53,3.11,68,167,44,17.06,37,50.68,141.06,36.32,0.7,85.6,97.7,49,1966,2014,540.77,76.02,106.56,4871,71.63,69.79,4.3,129.64,15.57,1.28,23.25,9.33,1
Anil K.,2013,ASCE,370,306370,52,3.22,312,370,149,98.13,175,140.45,438.49,139.36,3.37,94.5,100,359,1967,2013,5891.73,828.03,339.76,97591,312.79,312.4,1.98,633.04,387.05,6,76.76,43.27,1
George S. Constantinescu,2011,ASCE,321,4716,60,2.16,35,66,16,12.25,23,15.94,51.91,18.85,0.38,83.1,94.1,6,1959,2013,78.6,14.69,48.06,1472,42.06,38.37,2.2,41.07,6.67,0.58,8.87,4.51,1
